State	year	adult_pop	ins_employer	ins_direct	ins_medicare	ins_medicaid	uninsured	expand_ever	date_adopted	expand_year	expand
Connecticut	2014	2233736	1388088	184757	22101	288079	212229	TRUE	2014-01-01	2014	TRUE
Florida	2014	11813708	5575541	1288386	170323	948322	2812892	FALSE	NA	NA	FALSE
Georgia	2014	6200645	3316647	462743	92962	369755	1368178	FALSE	NA	NA	FALSE
Idaho	2014	950894	497632	117140	9836	46537	183445	FALSE	NA	NA	FALSE
Hawaii	2014	836069	510226	47483	7194	90383	60085	TRUE	2014-01-01	2014	TRUE
Illinois	2014	7998369	4776186	641071	89174	868857	1119046	TRUE	2014-01-01	2014	TRUE
Indiana	2014	4012497	2428693	278435	57033	282413	658877	TRUE	2015-02-01	2015	FALSE
Iowa	2014	1872141	1197738	186426	12290	156251	164460	TRUE	2014-01-01	2014	TRUE
Kansas	2014	1725164	1052497	157381	18808	73743	249966	FALSE	NA	NA	FALSE
Kentucky	2014	2684670	1458478	180855	65683	374167	320812	TRUE	2014-01-01	2014	TRUE
Louisiana	2014	2824652	1440203	223786	49059	238369	609860	TRUE	2016-07-01	2016	FALSE
Maine	2014	822829	453008	61837	9029	91100	116691	TRUE	2019-01-10	2019	FALSE
Maryland	2014	3737434	2286846	262859	36447	365252	410935	TRUE	2014-01-01	2014	TRUE
Massachusetts	2014	4303921	2737763	283650	26609	705242	193217	TRUE	2014-01-01	2014	TRUE
Michigan	2014	6087266	3571034	476417	72719	676834	748333	TRUE	2014-04-01	2014	TRUE
Minnesota	2014	3370012	2162501	305409	25622	365537	265377	TRUE	2014-01-01	2014	TRUE
Mississippi	2014	1782144	868327	134831	36577	161386	383375	FALSE	NA	NA	FALSE
Missouri	2014	3669439	2123815	325561	71616	214241	590745	FALSE	NA	NA	FALSE
Montana	2014	618551	314792	80853	8119	30352	124168	TRUE	2016-01-01	2016	FALSE
Nebraska	2014	1127803	680916	125476	8617	47047	153881	FALSE	NA	NA	FALSE
Nevada	2014	1747883	954835	115649	21582	142375	355882	TRUE	2014-01-01	2014	TRUE
New Hampshire	2014	843544	563374	64177	10107	37893	107927	TRUE	2014-08-15	2014	TRUE
New Jersey	2014	5551498	3535547	347898	57089	454391	856903	TRUE	2014-01-01	2014	TRUE
New Mexico	2014	1238526	555135	85440	18672	191473	255917	TRUE	2014-01-01	2014	TRUE
New York	2014	12485670	7111983	786434	126754	2005122	1531914	TRUE	2014-01-01	2014	TRUE
North Carolina	2014	6045208	3165904	595684	91005	412895	1148157	FALSE	NA	NA	FALSE
North Dakota	2014	458368	289353	52932	3302	24482	45025	TRUE	2014-01-01	2014	TRUE
Ohio	2014	7061137	4333942	426595	119830	830427	819273	TRUE	2014-01-01	2014	TRUE
Oklahoma	2014	2305044	1207547	187084	41868	142923	498386	FALSE	NA	NA	FALSE
Oregon	2014	2449627	1293542	209879	27845	358710	340874	TRUE	2014-01-01	2014	TRUE
Pennsylvania	2014	7833859	4895033	669064	92300	638651	915861	TRUE	2015-01-01	2015	FALSE
Rhode Island	2014	667555	388161	55475	8458	87852	69115	TRUE	2014-01-01	2014	TRUE
South Carolina	2014	2908636	1510273	210143	54019	224859	578165	FALSE	NA	NA	FALSE
South Dakota	2014	503162	289238	62881	4724	23633	69426	FALSE	NA	NA	FALSE
Tennessee	2014	4001037	2112695	334075	76973	378023	694875	FALSE	NA	NA	FALSE
Texas	2014	16366994	8536212	1218066	186073	911596	4204601	FALSE	NA	NA	FALSE
Vermont	2014	395850	228104	31170	4459	66980	27943	TRUE	2014-01-01	2014	TRUE
Utah	2014	1722815	1081490	160536	12503	68914	278747	FALSE	NA	NA	FALSE
Virginia	2014	5129648	3015141	424749	69180	214657	764219	TRUE	2019-01-01	2019	FALSE
Washington	2014	4382463	2512470	368067	46196	447605	560535	TRUE	2014-01-01	2014	TRUE
West Virginia	2014	1118678	596709	45112	26854	182005	144429	TRUE	2014-01-01	2014	TRUE
Wisconsin	2014	3540472	2258898	279276	33656	326060	357262	FALSE	NA	NA	FALSE
Wyoming	2014	359462	215860	32452	2399	14199	59981	FALSE	NA	NA	FALSE
Puerto Rico	2014	2138884	627901	200338	66612	891480	185898	NA	NA	NA	FALSE
Mississippi	2015	1773478	873978	147122	35631	170743	340728	FALSE	NA	NA	FALSE
Missouri	2015	3667679	2205535	343541	63305	219330	498533	FALSE	NA	NA	FALSE
Montana	2015	618119	324220	87018	7844	34670	100941	TRUE	2016-01-01	2016	FALSE
Nebraska	2015	1130499	703735	135475	9723	44510	127951	FALSE	NA	NA	FALSE
Nevada	2015	1770634	958922	144393	27317	195206	290465	TRUE	2014-01-01	2014	TRUE
New Hampshire	2015	840967	563254	66728	13641	56148	75596	TRUE	2014-08-15	2014	TRUE
New Jersey	2015	5553122	3531262	389919	58931	580781	679315	TRUE	2014-01-01	2014	TRUE
New Mexico	2015	1226223	539547	84894	18880	252315	198242	TRUE	2014-01-01	2014	TRUE
New York	2015	12481696	7111884	876393	122755	2178008	1253516	TRUE	2014-01-01	2014	TRUE
North Carolina	2015	6099130	3205510	693608	92082	451201	996399	FALSE	NA	NA	FALSE
North Dakota	2015	468080	287821	60149	3029	22989	43584	TRUE	2014-01-01	2014	TRUE
Ohio	2015	7045089	4312848	449934	115818	977407	622066	TRUE	2014-01-01	2014	TRUE
Oklahoma	2015	2313940	1236880	202718	46814	142719	458388	FALSE	NA	NA	FALSE
Oregon	2015	2481134	1326353	243675	28125	393228	246724	TRUE	2014-01-01	2014	TRUE
Pennsylvania	2015	7812487	4897047	719198	90831	787062	680862	TRUE	2015-01-01	2015	TRUE
Rhode Island	2015	667050	391854	56697	6168	98147	51477	TRUE	2014-01-01	2014	TRUE
South Carolina	2015	2938107	1580977	251958	49943	249327	475511	FALSE	NA	NA	FALSE
South Dakota	2015	504714	288133	62284	4814	23088	71572	FALSE	NA	NA	FALSE
Tennessee	2015	4017067	2167559	361742	79767	392963	600727	FALSE	NA	NA	FALSE
Texas	2015	16657157	8918734	1440845	200185	918517	3873285	FALSE	NA	NA	FALSE
Vermont	2015	393856	229413	32222	4711	68289	22406	TRUE	2014-01-01	2014	TRUE
Utah	2015	1757716	1115081	192389	11671	70081	242296	FALSE	NA	NA	FALSE
Virginia	2015	5133209	3020861	483691	68929	247081	644682	TRUE	2019-01-01	2019	FALSE
Washington	2015	4440161	2562936	409055	47355	536953	418445	TRUE	2014-01-01	2014	TRUE
West Virginia	2015	1109345	591777	59898	28519	214197	96912	TRUE	2014-01-01	2014	TRUE
Wisconsin	2015	3535927	2306460	303628	31426	340075	273369	FALSE	NA	NA	FALSE
Wyoming	2015	357200	214102	37219	2529	13913	55394	FALSE	NA	NA	FALSE
Puerto Rico	2015	2091503	629149	192039	69537	855944	172267	NA	NA	NA	FALSE
Alabama	2015	2931080	1588401	251217	68427	221829	448318	FALSE	NA	NA	FALSE
Alaska	2015	457079	230786	29699	1532	36934	85567	TRUE	2015-09-01	2015	TRUE
Arizona	2015	3992074	2023961	360611	52446	602255	581692	TRUE	2014-01-01	2014	TRUE
Arkansas	2015	1759383	885346	166277	43004	218125	239884	TRUE	2014-01-01	2014	TRUE
California	2015	24451851	12778221	2427618	227484	4334047	2952902	TRUE	2014-01-01	2014	TRUE
Colorado	2015	3416438	1933299	369598	29775	401818	375168	TRUE	2014-01-01	2014	TRUE
Delaware	2015	570682	346769	41570	8550	76185	46357	TRUE	2014-01-01	2014	TRUE
District of Columbia	2015	469590	272000	49774	2415	80853	22614	TRUE	2014-01-01	2014	TRUE
Connecticut	2015	2232650	1392377	196090	19773	300233	181812	TRUE	2014-01-01	2014	TRUE
Florida	2015	11988187	5732967	1657227	175258	1008569	2325241	FALSE	NA	NA	FALSE
Georgia	2015	6254418	3385116	583232	86993	382658	1210998	FALSE	NA	NA	FALSE
Idaho	2015	961905	509559	135762	8621	56152	155134	FALSE	NA	NA	FALSE
Hawaii	2015	831201	518317	51938	6261	91561	48071	TRUE	2014-01-01	2014	TRUE
Illinois	2015	7958577	4832760	711522	86531	1006754	810187	TRUE	2014-01-01	2014	TRUE
Indiana	2015	4015170	2467898	313840	62255	333518	517333	TRUE	2015-02-01	2015	TRUE
Iowa	2015	1876389	1195987	185019	14367	182110	128392	TRUE	2014-01-01	2014	TRUE
Kansas	2015	1724059	1054202	181785	18447	74104	222500	FALSE	NA	NA	FALSE
Kentucky	2015	2682955	1447315	179169	68442	475049	216282	TRUE	2014-01-01	2014	TRUE
Louisiana	2015	2820771	1478473	255088	51218	256405	503139	TRUE	2016-07-01	2016	FALSE
Maine	2015	816194	457758	80659	10989	80892	95706	TRUE	2019-01-10	2019	FALSE
Maryland	2015	3738785	2323287	298944	38874	397583	327978	TRUE	2014-01-01	2014	TRUE
Massachusetts	2015	4328437	2713315	313363	31787	733387	169825	TRUE	2014-01-01	2014	TRUE
Michigan	2015	6073123	3578699	481650	73789	859533	523682	TRUE	2014-04-01	2014	TRUE
Minnesota	2015	3376832	2159915	323327	28234	412439	203390	TRUE	2014-01-01	2014	TRUE
Mississippi	2016	1766560	901806	143900	35563	166642	312179	FALSE	NA	NA	FALSE
Missouri	2016	3653174	2211967	355810	74728	218096	466927	FALSE	NA	NA	FALSE
Montana	2016	620433	324131	81312	7235	61879	72426	TRUE	2016-01-01	2016	TRUE
Nebraska	2016	1131791	706612	132856	8555	44497	135759	FALSE	NA	NA	FALSE
Nevada	2016	1791813	975235	143454	20469	209760	277884	TRUE	2014-01-01	2014	TRUE
